a_fullVisitorId,a_hits_customDimensions_value,a_COUNT,a_SUM_totals_pageviews,a_SUM_totals_hits,a_SUM_totals_timeOnSite,a_SUM_hits_hitNumber,a_diffdays_latest,a_diffdays_oldest,a_desktop_flag,a_tablet_flag,a_mobile_flag,a_OS_Windows_flag,a_OS_Macintosh_flag,a_SUM_morning_visit,a_SUM_daytime_visit,a_SUM_evening_visit,a_SUM_midnight_visit,a_page201404,a_page201405,a_page201406,b_hits_customDimensions_value,b_CV_flag
1,1,4,5,10,34,4,24,27,1,0,0,1,0,0,1,0,3,0,0,0,1,0
2,2,1,1,2,1,1,24,24,1,0,0,1,0,0,0,1,0,0,0,0,2,0
3,3,1,1,2,1,1,24,24,1,0,0,1,0,1,0,0,0,0,0,0,3,0
4,4,3,4,8,97,5,11,42,1,0,0,1,0,0,0,0,3,0,0,0,4,0
5,5,1,1,2,2,1,24,24,1,0,0,1,0,0,1,0,0,0,0,0,5,0
6,6,1,1,1,1,1,24,24,1,0,0,1,0,0,0,1,0,0,0,0,6,0
7,7,1,1,2,2,1,24,24,1,0,0,1,0,0,1,0,0,0,0,0,7,0
8,8,1,1,2,3,1,24,24,1,0,0,0,1,0,0,1,0,1,0,0,8,0
9,9,1,1,2,2,1,24,24,1,0,0,1,0,0,0,1,0,0,0,0,9,0
10,10,1,1,2,1,1,24,24,1,0,0,1,0,1,0,0,0,0,0,0,10,0
11,11,1,1,2,1,1,4,4,0,0,1,1,0,1,0,0,0,0,0,0,11,0
12,12,1,1,2,1,1,4,4,1,0,0,1,0,0,0,1,0,0,0,0,12,0
13,13,1,1,2,2,1,4,4,1,0,0,1,0,0,1,0,0,0,0,0,13,0
14,14,1,1,2,1,1,4,4,1,0,0,1,0,0,0,0,1,0,0,0,14,1
15,15,1,1,2,1,1,4,4,1,0,0,1,0,0,1,0,0,0,0,0,15,1
16,16,1,1,2,4,1,4,4,1,0,0,1,0,0,0,1,0,0,0,0,16,1
17,17,1,1,2,10,1,4,4,1,0,0,1,0,0,0,1,0,0,0,0,17,0
18,18,1,4,5,62,1,4,4,1,0,0,1,0,1,0,0,0,0,0,0,18,0
19,19,1,1,2,1,1,4,4,1,0,0,1,0,0,0,1,0,0,0,0,19,0
20,20,1,1,1,1,1,4,4,1,0,0,0,0,0,0,0,1,0,0,0,20,0
21,21,1,1,1,1,1,4,4,1,0,0,1,0,1,0,0,0,0,0,0,21,0
22,22,1,2,3,17,1,4,4,0,0,1,0,0,0,1,0,0,0,0,0,22,0
23,23,4,3,7,4,4,4,5,1,0,0,1,0,0,4,0,0,0,0,0,23,1
24,24,1,1,2,1,1,4,4,1,0,0,1,0,0,0,1,0,0,0,0,24,0
25,25,1,1,2,1,1,4,4,1,0,0,1,0,0,0,0,1,0,0,0,25,1
26,26,1,1,2,1,1,4,4,1,0,0,1,0,0,0,1,0,0,0,0,26,1
27,27,1,1,2,1,1,11,11,1,0,0,1,0,0,1,0,0,0,0,0,27,0
28,28,1,1,2,1,1,11,11,1,0,0,1,0,1,0,0,0,0,0,0,28,0
29,29,1,1,2,3,1,11,11,1,0,0,1,0,0,0,1,0,0,0,0,29,0
30,30,1,1,2,9,1,11,11,1,0,0,1,0,0,0,0,1,0,0,0,30,1
31,31,1,1,1,1,1,11,11,1,0,0,1,0,0,0,1,0,0,0,0,31,1
32,32,1,1,2,1,1,11,11,1,0,0,0,1,0,0,1,0,0,0,0,32,0
33,33,1,1,3,2,3,11,11,1,0,0,1,0,0,1,0,0,0,0,0,33,0
34,34,1,1,2,1,1,11,11,1,0,0,1,0,0,1,0,0,0,0,0,34,0
35,35,1,2,4,49,3,11,11,1,0,0,0,1,0,1,0,0,0,0,0,35,1
36,36,1,1,1,1,1,11,11,1,0,0,1,0,0,1,0,0,0,0,0,36,0
37,37,1,1,2,25,1,11,11,1,0,0,1,0,0,1,0,0,0,0,0,37,0
38,38,1,1,2,1,1,11,11,1,0,0,1,0,0,1,0,0,0,0,0,38,0
39,39,1,1,2,1,1,11,11,1,0,0,1,0,0,1,0,0,0,0,0,39,0
40,40,1,1,2,2,1,11,11,1,0,0,1,0,1,0,0,0,0,0,0,40,0
41,41,2,2,5,11,2,11,12,1,0,0,1,0,0,1,1,0,0,0,0,41,0
42,42,1,1,2,1,1,11,11,1,0,0,1,0,1,0,0,0,0,0,0,42,0
43,43,1,1,2,2,1,11,11,1,0,0,1,0,0,1,0,0,0,0,0,43,0
44,44,1,1,2,1,1,11,11,1,0,0,1,0,1,0,0,0,0,0,0,44,0
45,45,1,1,2,1,1,11,11,1,0,0,1,0,0,0,1,0,0,0,0,45,0
46,46,12,12,24,31,12,3,35,1,0,0,1,0,3,0,0,9,0,0,0,46,1
47,47,1,1,2,3,1,11,11,1,0,0,1,0,0,1,0,0,0,0,0,47,0
48,48,1,1,2,5,1,11,11,1,0,0,1,0,0,1,0,0,0,0,0,48,0
49,49,1,1,2,2,1,11,11,1,0,0,1,0,1,0,0,0,0,0,0,49,0
50,50,1,1,2,2,1,17,17,1,0,0,0,1,0,0,0,1,0,0,0,50,1
51,51,1,1,2,1,1,17,17,1,0,0,1,0,0,0,1,0,0,0,0,51,0
52,52,1,1,2,1,1,17,17,1,0,0,1,0,0,0,1,0,0,0,0,52,0
53,53,1,1,1,1,1,17,17,0,1,0,0,0,0,0,1,0,0,0,0,53,1
54,54,1,1,2,1,1,17,17,1,0,0,1,0,0,1,0,0,0,0,0,54,0
55,55,1,1,2,10,1,17,17,1,0,0,1,0,0,0,0,1,0,0,0,55,0
56,56,1,1,2,1,1,17,17,1,0,0,1,0,0,0,1,0,0,0,0,56,0
57,57,1,1,1,1,1,17,17,1,0,0,1,0,0,0,1,0,0,0,0,57,0
58,58,1,1,2,1,1,31,31,1,0,0,1,0,1,0,0,0,0,0,0,58,0
59,59,1,1,1,1,1,31,31,1,0,0,1,0,1,0,0,0,0,0,0,59,0
60,60,1,1,2,1,1,31,31,1,0,0,1,0,0,1,0,0,0,0,0,60,0
61,61,1,1,2,1,1,31,31,1,0,0,1,0,0,0,0,1,0,0,0,61,0
62,62,1,1,2,1,1,31,31,1,0,0,0,1,0,0,1,0,0,0,0,62,0
63,63,1,1,2,1,1,31,31,1,0,0,1,0,0,0,0,1,0,0,0,63,0
64,64,1,1,2,5,1,31,31,1,0,0,1,0,0,0,1,0,0,0,0,64,0
65,65,1,1,2,1,1,31,31,1,0,0,1,0,1,0,0,0,0,0,0,65,0
66,66,1,1,2,1,1,31,31,1,0,0,1,0,0,1,0,0,0,0,0,66,0
67,67,1,1,2,1,1,38,38,1,0,0,1,0,0,0,0,1,0,0,0,67,0
68,68,1,1,2,1,1,38,38,1,0,0,1,0,0,0,1,0,0,0,0,68,0
69,69,1,1,2,1,1,38,38,1,0,0,1,0,0,1,0,0,0,0,0,69,0
70,70,1,1,2,5,1,38,38,1,0,0,1,0,0,1,0,0,0,0,0,70,0
71,71,1,1,2,3,1,38,38,1,0,0,1,0,0,0,1,0,0,0,0,71,0
72,72,1,1,2,1,1,38,38,1,0,0,1,0,0,1,0,0,0,0,0,72,0
73,73,1,1,2,2,1,38,38,1,0,0,1,0,0,0,1,0,0,0,0,73,0
74,74,1,1,2,1,1,38,38,1,0,0,1,0,0,0,1,0,0,0,0,74,0
75,75,1,2,4,325,3,38,38,1,0,0,1,0,0,0,1,0,0,0,0,75,0
76,76,1,1,2,1,1,38,38,1,0,0,1,0,1,0,0,0,0,0,0,76,0
77,77,2,1,4,1,3,38,38,1,0,0,1,0,0,0,2,0,0,0,0,77,0
78,78,2,2,4,2,2,38,38,1,0,0,1,0,0,2,0,0,0,0,0,78,0
79,79,1,1,2,1,1,45,45,1,0,0,1,0,0,1,0,0,0,0,0,79,0
80,80,1,1,2,1,1,45,45,1,0,0,0,1,0,0,1,0,0,0,0,80,0
81,81,1,1,2,3,1,45,45,1,0,0,1,0,0,0,1,0,0,0,0,81,0
82,82,1,1,1,1,1,45,45,1,0,0,1,0,0,0,0,1,0,0,0,82,0
83,83,3,5,11,27,7,45,45,1,0,0,1,0,2,1,0,0,0,0,0,83,0
84,84,1,1,2,1,2,45,45,1,0,0,1,0,0,1,0,0,0,0,0,84,0
85,85,1,1,2,4,1,45,45,1,0,0,1,0,0,1,0,0,0,0,0,85,0
86,86,2,4,8,115,4,1,15,1,0,0,1,0,0,0,2,0,0,1,1,86,1
87,87,1,1,2,1,1,15,15,1,0,0,1,0,1,0,0,0,0,0,0,87,0
88,88,2,4,8,32,4,15,15,1,0,0,1,0,2,0,0,0,0,0,0,88,0
89,89,1,1,2,1,1,15,15,1,0,0,1,0,0,0,0,1,0,0,0,89,0
90,90,2,4,6,421,2,15,15,1,0,0,1,0,0,2,0,0,0,0,0,90,0
91,91,1,2,4,22,3,15,15,1,0,0,1,0,0,0,1,0,0,0,0,91,0
92,92,1,1,1,1,1,15,15,1,0,0,1,0,0,1,0,0,0,0,0,92,0
93,93,1,1,2,2,1,15,15,1,0,0,1,0,1,0,0,0,0,0,0,93,0
94,94,6,23,46,1253,28,15,15,1,0,0,1,0,0,6,0,0,0,0,0,94,0
95,95,1,1,2,6,1,15,15,1,0,0,1,0,0,0,1,0,0,0,0,95,0
96,96,1,2,3,37,1,15,15,1,0,0,1,0,1,0,0,0,0,0,0,96,0
97,97,1,1,1,1,1,15,15,1,0,0,1,0,0,1,0,0,0,0,0,97,0
98,98,1,1,2,1,1,15,15,1,0,0,1,0,0,0,0,1,0,0,0,98,0
99,99,1,1,2,2,1,15,15,1,0,0,1,0,0,0,1,0,0,0,0,99,0
100,100,1,2,3,165,1,15,15,1,0,0,1,0,1,0,0,0,0,0,0,100,0
101,101,1,1,2,1,1,15,15,1,0,0,1,0,0,1,0,0,0,0,0,101,0
102,102,1,1,2,1,1,15,15,1,0,0,1,0,0,0,1,0,0,0,0,102,0
103,103,1,1,2,1,1,15,15,1,0,0,1,0,0,1,0,0,0,0,0,103,1
104,104,1,1,2,13,1,15,15,1,0,0,1,0,0,1,0,0,0,0,0,104,0
105,105,1,2,4,42,3,15,15,1,0,0,1,0,0,0,1,0,0,0,0,105,1
106,106,1,1,2,1,1,15,15,1,0,0,1,0,0,1,0,0,0,0,0,106,0
107,107,1,1,2,1,1,15,15,1,0,0,1,0,1,0,0,0,0,0,0,107,0
108,108,1,1,2,2,1,15,15,1,0,0,1,0,0,0,0,1,0,0,0,108,0
109,109,1,1,1,1,1,15,15,1,0,0,1,0,0,1,0,0,0,0,0,109,0
110,110,1,1,2,1,1,15,15,1,0,0,1,0,1,0,0,0,0,0,0,110,0
111,111,1,1,2,1,1,15,15,1,0,0,1,0,0,1,0,0,0,0,0,111,0
112,112,1,2,4,27,3,15,15,1,0,0,1,0,0,1,0,0,0,0,0,112,0
113,113,1,2,3,87,2,15,15,1,0,0,1,0,0,1,0,0,0,0,0,113,1
114,114,1,2,4,27,3,15,15,1,0,0,1,0,0,1,0,0,0,0,0,114,1
115,115,1,1,2,1,1,15,15,1,0,0,1,0,0,1,0,0,0,0,0,115,0
116,116,1,1,2,3,1,15,15,1,0,0,1,0,0,0,1,0,0,0,0,116,0
117,117,1,1,2,1,1,15,15,1,0,0,0,1,1,0,0,0,0,0,0,117,0
118,118,10,10,20,10,10,5,43,1,0,0,1,0,1,5,4,0,0,0,0,118,1
119,119,2,2,4,1,2,9,9,1,0,0,1,0,2,0,0,0,0,0,0,119,0
120,120,1,1,2,2,1,9,9,1,0,0,1,0,0,1,0,0,0,0,0,120,0
121,121,18,18,36,98,18,1,44,1,0,0,1,0,9,9,0,0,0,0,0,121,1
122,122,1,1,2,1,1,9,9,1,0,0,1,0,1,0,0,0,0,0,0,122,1
123,123,1,1,2,1,1,9,9,1,0,0,1,0,0,1,0,0,0,0,0,123,0
124,124,1,1,2,3,1,9,9,1,0,0,1,0,0,0,0,1,0,0,0,124,1
125,125,1,1,2,1,1,9,9,1,0,0,1,0,0,1,0,0,0,0,0,125,0
126,126,1,1,2,49,1,9,9,1,0,0,1,0,1,0,0,0,0,0,0,126,0
127,127,1,1,2,1,1,9,9,1,0,0,1,0,0,1,0,0,0,0,0,127,0
128,128,1,1,2,1,1,9,9,1,0,0,1,0,0,0,1,0,0,0,0,128,0
129,129,1,1,2,1,1,9,9,1,0,0,1,0,0,1,0,0,0,0,0,129,0
130,130,1,1,2,1,1,9,9,1,0,0,1,0,0,0,1,0,1,0,0,130,0
131,131,1,1,1,1,1,9,9,0,0,1,0,0,0,0,0,1,0,0,0,131,0
132,132,1,1,2,2,1,9,9,1,0,0,1,0,0,1,0,0,0,0,0,132,1
133,133,1,1,2,1,1,9,9,1,0,0,1,0,0,1,0,0,0,0,0,133,0
134,134,1,1,2,2,1,9,9,1,0,0,1,0,0,1,0,0,0,0,0,134,0
135,135,1,1,2,1,1,9,9,1,0,0,1,0,0,1,0,0,0,0,0,135,0
136,136,2,2,6,10,4,9,9,1,0,0,1,0,0,0,2,0,0,0,0,136,0
137,137,1,2,4,306,3,9,9,1,0,0,0,1,0,1,0,0,0,0,0,137,1
138,138,2,2,4,5,2,9,33,1,0,0,1,0,1,1,0,0,0,0,0,138,0
139,139,1,1,2,1,1,9,9,1,0,0,1,0,0,1,0,0,0,0,0,139,1
140,140,1,1,2,1,1,9,9,1,0,0,1,0,0,1,0,0,0,0,0,140,1
141,141,1,1,2,2,1,9,9,1,0,0,1,0,0,1,0,0,0,0,0,141,1
142,142,1,1,2,1,1,9,9,1,0,0,1,0,0,0,1,0,0,1,0,142,1
143,143,1,1,2,1,1,9,9,1,0,0,1,0,1,0,0,0,0,0,0,143,0
144,144,1,1,2,6,1,9,9,1,0,0,1,0,0,1,0,0,0,0,0,144,1
145,145,1,1,2,1,1,9,9,1,0,0,1,0,0,0,1,0,0,0,0,145,0
146,146,1,1,1,1,1,9,9,1,0,0,1,0,1,0,0,0,0,0,0,146,1
147,147,1,1,2,2,1,9,9,1,0,0,1,0,0,0,1,0,0,0,0,147,0
148,148,2,2,4,2,2,43,43,1,0,0,1,0,1,0,1,0,0,0,0,148,0
149,149,1,4,6,73,5,43,43,0,0,1,1,0,0,0,1,0,0,0,0,149,0
150,150,1,3,4,399,1,43,43,1,0,0,1,0,0,1,0,0,0,0,0,150,0
151,151,2,4,8,392,4,43,43,1,0,0,1,0,0,2,0,0,2,0,0,151,0
152,152,1,1,2,1,1,43,43,1,0,0,1,0,0,0,1,0,0,0,0,152,0
153,153,1,1,2,1,1,43,43,1,0,0,1,0,1,0,0,0,0,0,0,153,0
154,154,2,2,6,22,3,43,43,1,0,0,1,0,0,2,0,0,0,0,0,154,0
155,155,1,1,2,2,1,43,43,1,0,0,0,1,0,0,1,0,0,0,0,155,0
156,156,1,3,6,645,5,43,43,1,0,0,1,0,0,1,0,0,0,0,0,156,0
157,157,1,1,2,1,1,43,43,1,0,0,1,0,0,1,0,0,0,0,0,157,0
158,158,2,4,8,2614,4,43,43,1,0,0,1,0,0,2,0,0,0,0,0,158,0
159,159,1,2,4,36,3,43,43,1,0,0,1,0,1,0,0,0,0,0,0,159,0
160,160,1,2,4,26,1,43,43,1,0,0,1,0,0,1,0,0,0,0,0,160,0
161,161,1,1,2,1,1,43,43,1,0,0,1,0,0,1,0,0,0,0,0,161,0
162,162,1,3,5,89,3,43,43,1,0,0,1,0,1,0,0,0,0,0,0,162,0
163,163,1,1,2,5,1,43,43,1,0,0,1,0,0,1,0,0,0,0,0,163,0
164,164,2,3,5,32,2,33,43,1,0,0,0,1,0,2,0,0,0,0,0,164,0
165,165,1,1,2,5,1,43,43,1,0,0,1,0,0,0,1,0,0,0,0,165,0
166,166,1,1,2,1,1,43,43,1,0,0,1,0,1,0,0,0,0,0,0,166,0
167,167,1,1,2,1,1,43,43,1,0,0,1,0,0,0,1,0,0,0,0,167,0
168,168,1,1,2,3,1,43,43,1,0,0,1,0,0,1,0,0,0,0,0,168,0
169,169,1,1,2,1,1,43,43,1,0,0,1,0,0,1,0,0,0,0,0,169,0
170,170,1,1,2,1,1,43,43,1,0,0,0,1,0,0,0,1,0,0,0,170,0
171,171,2,4,8,36,4,43,43,1,0,0,1,0,0,2,0,0,0,0,0,171,0
172,172,1,1,2,1,1,43,43,1,0,0,1,0,0,0,1,0,0,0,0,172,0
173,173,26,26,64,8240,38,1,47,1,0,0,1,0,10,4,12,0,0,0,0,173,1
174,174,1,2,4,14,1,43,43,0,1,0,0,0,0,1,0,0,0,0,0,174,0
175,175,1,1,2,2,1,43,43,1,0,0,1,0,0,1,0,0,0,0,0,175,0
176,176,1,1,2,1,1,43,43,1,0,0,1,0,0,1,0,0,0,0,0,176,0
177,177,1,1,2,1,1,43,43,1,0,0,1,0,0,0,1,0,0,0,0,177,0
178,178,1,1,2,9,1,43,43,1,0,0,1,0,0,1,0,0,0,0,0,178,0
179,179,1,1,2,1,1,43,43,1,0,0,1,0,0,1,0,0,0,0,0,179,0
180,180,1,1,1,1,1,43,43,1,0,0,1,0,0,1,0,0,0,0,0,180,0
181,181,1,1,2,1,1,43,43,1,0,0,1,0,0,0,1,0,0,0,0,181,0
182,182,1,2,3,86,1,43,43,1,0,0,1,0,0,1,0,0,0,0,0,182,0
183,183,1,1,2,3,1,43,43,1,0,0,1,0,0,1,0,0,0,0,0,183,0
184,184,2,3,6,683,4,42,43,1,0,0,1,0,0,2,0,0,0,0,0,184,0
185,185,1,1,2,1,1,43,43,1,0,0,1,0,0,1,0,0,0,0,0,185,0
186,186,12,14,28,2520,14,21,47,1,0,0,1,0,7,5,0,0,0,0,0,186,1
187,187,2,2,4,2,2,43,43,1,0,0,1,0,0,2,0,0,2,0,0,187,0
188,188,4,4,8,6,4,7,43,1,0,0,1,0,3,1,0,0,0,0,0,188,1
189,189,1,1,1,1,1,43,43,1,0,0,1,0,0,0,0,1,0,0,0,189,0
190,190,2,4,8,3142,4,43,43,1,0,0,1,0,0,1,1,0,2,0,0,190,0
191,191,1,1,2,2,1,43,43,1,0,0,1,0,1,0,0,0,1,0,0,191,0
192,192,1,1,2,1,2,43,43,1,0,0,1,0,1,0,0,0,0,0,0,192,0
193,193,5,13,26,1820,13,2,12,1,0,0,1,0,0,0,5,0,0,0,0,193,0
194,194,1,1,2,1,1,2,2,1,0,0,1,0,0,1,0,0,0,0,0,194,1
195,195,1,1,2,2,1,2,2,1,0,0,1,0,0,1,0,0,0,0,0,195,0
196,196,1,1,2,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,196,0
197,197,3,9,18,51,9,2,2,1,0,0,1,0,0,3,0,0,0,0,0,197,1
198,198,1,1,2,3,1,2,2,1,0,0,1,0,0,0,1,0,1,0,0,198,0
199,199,1,4,8,314,7,2,2,1,0,0,1,0,0,1,0,0,0,0,0,199,0
200,200,1,1,1,1,1,2,2,1,0,0,1,0,1,0,0,0,0,0,0,200,1
201,201,1,1,2,1,1,2,2,0,1,0,0,0,0,0,0,1,0,0,1,201,0
202,202,1,1,2,1,1,2,2,1,0,0,1,0,0,1,0,0,0,0,0,202,0
203,203,1,1,2,3,1,2,2,0,1,0,0,0,0,0,1,0,0,0,0,203,0
204,204,1,1,2,1,1,2,2,1,0,0,1,0,0,0,0,1,0,0,0,204,0
205,205,1,1,2,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,205,0
206,206,1,1,2,1,1,2,2,1,0,0,1,0,0,1,0,0,0,1,0,206,1
207,207,3,9,21,408,14,2,2,1,0,0,1,0,3,0,0,0,0,0,0,207,0
208,208,1,1,2,1,1,2,2,1,0,0,1,0,0,1,0,0,0,0,0,208,0
209,209,2,4,8,44,4,2,2,1,0,0,1,0,2,0,0,0,0,0,0,209,1
210,210,1,1,2,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,210,0
211,211,1,1,1,1,1,2,2,1,0,0,1,0,1,0,0,0,0,0,0,211,0
212,212,1,1,2,4,1,2,2,1,0,0,1,0,0,0,0,1,0,0,0,212,0
213,213,2,10,16,838,9,2,2,1,0,0,1,0,0,2,0,0,0,0,0,213,1
214,214,1,1,2,1,1,2,2,1,0,0,1,0,0,1,0,0,0,0,0,214,0
215,215,1,1,2,2,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,215,0
216,216,1,1,2,3,1,2,2,1,0,0,1,0,1,0,0,0,0,0,0,216,0
217,217,1,1,2,1,1,2,2,1,0,0,1,0,0,0,0,1,0,0,0,217,0
218,218,2,4,8,46,4,2,2,1,0,0,1,0,0,2,0,0,0,0,0,218,1
219,219,1,1,2,3,1,2,2,1,0,0,1,0,0,1,0,0,0,0,0,219,1
220,220,1,1,2,1,1,2,2,1,0,0,1,0,1,0,0,0,0,0,0,220,0
221,221,2,2,4,4,2,2,2,1,0,0,1,0,0,2,0,0,0,0,0,221,1
222,222,1,1,2,1,1,36,36,1,0,0,1,0,0,0,1,0,0,0,0,222,0
223,223,1,3,6,324,1,36,36,1,0,0,1,0,0,1,0,0,0,0,0,223,0
224,224,1,1,2,6,1,36,36,1,0,0,0,1,0,1,0,0,0,0,0,224,0
225,225,1,1,2,5,1,36,36,1,0,0,1,0,0,1,0,0,1,0,0,225,0
226,226,1,1,2,1,1,36,36,1,0,0,0,1,1,0,0,0,0,0,0,226,0
227,227,1,1,2,1,1,36,36,1,0,0,1,0,0,0,1,0,0,0,0,227,0
228,228,5,5,10,86,5,16,42,1,0,0,1,0,4,1,0,0,0,0,0,228,0
229,229,1,1,2,2,1,36,36,1,0,0,1,0,1,0,0,0,0,0,0,229,0
230,230,1,1,2,1,1,36,36,1,0,0,1,0,0,1,0,0,1,0,0,230,0
231,231,2,3,5,85,2,36,42,1,0,0,1,0,1,1,0,0,0,0,0,231,0
232,232,1,1,2,2,1,36,36,1,0,0,1,0,1,0,0,0,0,0,0,232,0
233,233,1,1,2,6,1,36,36,1,0,0,1,0,0,1,0,0,0,0,0,233,0
234,234,1,1,2,1,1,36,36,1,0,0,1,0,0,1,0,0,0,0,0,234,0
235,235,1,1,2,3,1,36,36,0,1,0,0,0,0,0,1,0,0,0,0,235,0
236,236,1,1,2,1,1,36,36,1,0,0,1,0,0,1,0,0,0,0,0,236,0
237,237,1,1,2,1,1,36,36,1,0,0,1,0,0,1,0,0,0,0,0,237,0
238,238,1,1,2,1,1,36,36,1,0,0,1,0,0,1,0,0,0,0,0,238,0
239,239,1,2,3,135,1,36,36,1,0,0,1,0,0,1,0,0,0,0,0,239,0
240,240,3,3,9,2,3,36,37,1,0,0,1,0,0,1,2,0,2,0,0,240,0
241,241,1,1,2,1,1,36,36,1,0,0,1,0,0,0,1,0,0,0,0,241,0
242,242,1,1,2,1,1,36,36,0,1,0,1,0,0,1,0,0,0,0,0,242,0
243,243,1,1,2,2,1,36,36,1,0,0,1,0,0,1,0,0,0,0,0,243,0
244,244,1,1,2,1,1,36,36,1,0,0,1,0,0,0,1,0,0,0,0,244,0
245,245,1,1,2,1,1,36,36,1,0,0,1,0,0,1,0,0,0,0,0,245,0
246,246,1,2,4,76,3,36,36,1,0,0,1,0,0,0,1,0,0,0,0,246,0
247,247,1,1,2,2,1,36,36,1,0,0,1,0,0,0,1,0,0,0,0,247,0
248,248,1,1,2,3,1,36,36,1,0,0,1,0,0,0,1,0,0,0,0,248,0
249,249,1,1,2,1,1,36,36,1,0,0,1,0,0,0,0,1,0,0,0,249,0
250,250,1,1,2,1,1,36,36,1,0,0,1,0,0,1,0,0,0,1,0,250,0
251,251,1,1,2,2,1,36,36,1,0,0,1,0,0,0,1,0,0,0,0,251,0
252,252,1,1,2,1,1,36,36,1,0,0,1,0,0,1,0,0,0,0,0,252,0
253,253,1,1,2,3,1,36,36,1,0,0,1,0,0,1,0,0,0,0,0,253,0
254,254,3,4,7,32,3,1,36,1,0,0,1,0,0,3,0,0,0,0,0,254,1
255,255,1,1,2,2,1,36,36,1,0,0,1,0,1,0,0,0,0,0,0,255,0
256,256,1,1,2,2,1,36,36,1,0,0,1,0,0,1,0,0,0,0,0,256,0
257,257,2,2,6,4,4,36,36,1,0,0,1,0,0,2,0,0,0,0,0,257,0
258,258,1,1,2,1,1,36,36,1,0,0,1,0,0,1,0,0,1,0,0,258,0
259,259,1,1,2,3,1,36,36,1,0,0,1,0,1,0,0,0,0,0,0,259,0
260,260,1,1,2,1,1,36,36,1,0,0,1,0,0,1,0,0,0,0,0,260,0
261,261,2,2,4,2,2,35,36,1,0,0,0,1,0,1,1,0,0,0,0,261,0
